date,q
4/4/2019,0.944
4/11/2019,0.944
4/25/2019,0.944
5/2/2019,0.944
5/9/2019,0.944
5/16/2019,0.944
5/23/2019,2.064
5/30/2019,2.064
6/6/2019,1.029
6/13/2019,0.363
6/20/2019,0.377
6/27/2019,0.498
7/4/2019,0.321
7/11/2019,0.633
7/25/2019,0.564
8/1/2019,3.893
8/8/2019,1.118
8/15/2019,0.861
8/22/2019,0.706
8/29/2019,0.498
9/5/2019,0.377
9/12/2019,2.702
9/19/2019,0.633
9/26/2019,1.306
10/3/2019,0.633
10/10/2019,1.506
10/17/2019,2.064
10/24/2019,1.211
10/31/2019,0.633
11/7/2019,3.575
11/14/2019,1.72
11/21/2019,1.306
11/28/2019,1.118
12/5/2019,0.377
12/12/2019,0.633
12/19/2019,0.782
12/26/2019,0.782
1/2/2020,0.564
1/16/2020,0.498
1/23/2020,2.064
1/30/2020,0.498
2/6/2020,0.706
2/13/2020,0.321
2/20/2020,0.498
2/27/2020,0.498
3/12/2020,1.831
